"","treatment","cohort","sofa_start","sofa_end","sens","psi","i_ci","s_ci","pvalue","n"
"44","vasopressor","all","11","24","rrt","0.137589416286401","0.0543421891746515","0.220836643398151","0.00119760330460185","1533"
"45","vasopressor","all","11","24","vasopressor","0.0883092143774893","0.0152804911009705","0.161337937654008","0.0177828247751001","1392"
"46","mech_vent","cancer","0","24","mech_vent","0.0589568085507156","0.0309157127493486","0.0869979043520826","3.77348887278511e-05","4988"
"47","mech_vent","cancer","0","24","rrt","0.157276579773804","0.114338743974215","0.200214415573394","7.00872446988999e-13","2531"
"48","mech_vent","cancer","0","24","vasopressor","0.0605800730573743","0.0190399522963484","0.1021201938184","0.00425826515519615","2360"
"49","mech_vent","cancer","0","3","mech_vent","0.0907300952381717","0.0364465193510202","0.145013671125323","0.00105302351562943","1524"
"50","mech_vent","cancer","0","3","rrt","0.190036777056133","0.116487495280642","0.263586058831625","4.10007415868162e-07","1057"
"51","mech_vent","cancer","0","3","vasopressor","0.106725915948641","0.0358043855905555","0.177647446306727","0.00318292327870916","849"
"52","mech_vent","cancer","4","6","mech_vent","0.0655460294922239","0.0203752737493137","0.110716785235134","0.00445368466098593","1787"
"53","mech_vent","cancer","4","6","rrt","0.167976929441122","0.103253038525237","0.232700820357007","3.64235764371611e-07","896"
"54","mech_vent","cancer","4","6","vasopressor","0.0604591385765528","-0.00601097092133471","0.12692924807444","0.0746262146255359","808"
"55","mech_vent","cancer","7","10","mech_vent","0.00470863098258539","-0.0513960896865139","0.0608133516516847","0.869341893652378","1170"
"56","mech_vent","cancer","7","10","rrt","0.0829922220068041","-0.014454518905407","0.180438962919015","0.0950642204443399","438"
"57","mech_vent","cancer","7","10","vasopressor","0.0135441733130525","-0.0803681269970469","0.107456473623152","0.777426633468121","473"
"58","mech_vent","cancer","11","24","mech_vent","0.00609119906427813","-0.102623562980103","0.114805961108659","0.912554354301276","507"
"59","mech_vent","cancer","11","24","rrt","0.0416181170097818","-0.16926267190709","0.252498905926653","0.698894375942373","140"
"60","mech_vent","cancer","11","24","vasopressor","-0.0292964656041753","-0.180125702356395","0.121532771148044","0.703423988598989","230"
"61","rrt","cancer","0","24","mech_vent","0.0736470173171205","0.0282741603653364","0.119019874268905","0.00146576856754437","4988"
"62","rrt","cancer","0","24","rrt","0.172781856021284","0.114593312212","0.230970399830569","5.88772053533646e-09","2531"
"63","rrt","cancer","0","24","vasopressor","0.0713305942792957","0.0108422730796564","0.131818915478935","0.0208150964763531","2360"
"64","rrt","cancer","0","3","mech_vent","0.220967045133354","0.163635090239916","0.278299000026792","4.21535076099876e-14","1524"
"65","rrt","cancer","0","3","rrt","0.153206607877014","0.0791431391409048","0.227270076613124","5.02572716041954e-05","1057"
