"outcome","treatment","cohort","has_cancer","prob_mort_start","prob_mort_end","ATE","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights","RR"
"odd_hour","rrt_elig","cancer_vs_nocancer","1","0.21","1","0.0243219419496364","-0.0902586804016812","0.138902564300954","0.677375087521241","800","SL.glm SL.mean","0.00866908212029721 0.991330917879703","0 1","1.04688204267918"
"odd_hour","rrt_elig","cancer_vs_nocancer","1","0","1","-0.0107756225122132","-0.101393527437133","0.0798422824127061","0.815707863830629","2270","SL.glm SL.mean","0 1","0 1","0.978919331404295"
"odd_hour","vp_elig","cancer_vs_nocancer","1","0","0.06","-0.062023111663071","-0.166424885160791","0.0423786618346493","0.244262437245924","460","SL.glm SL.mean","0.043325926768742 0.956674073231258","0 1","0.884186666386144"
"odd_hour","vp_elig","cancer_vs_nocancer","1","0.06","0.11","-0.042584416944351","-0.136872808497828","0.0517039746091256","0.376040919984312","485","SL.glm SL.mean","0.0296735344337083 0.970326465566292","0.0873332803081652 0.912666719691835","0.916741094104809"
"odd_hour","vp_elig","cancer_vs_nocancer","1","0.11","0.21","-0.0250967982009916","-0.11212434584573","0.061930749443747","0.571924025425156","525","SL.glm SL.mean","0.0379600620040995 0.962039937995901","0 1","0.950722734062592"
"odd_hour","vp_elig","cancer_vs_nocancer","1","0.21","1","0.0094747907708721","-0.0611291944174645","0.0800787759592087","0.792531564415877","800","SL.glm SL.mean","0 1","0 1","1.01837579321048"
"odd_hour","vp_elig","cancer_vs_nocancer","1","0","1","-0.0248577726392644","-0.0666291123256859","0.0169135670471572","0.24346104243444","2270","SL.glm SL.mean","0 1","0.946886003613223 0.053113996386777","0.952266916519803"
"comb_noso","mv_elig","cancer_vs_nocancer","1","0","0.06","0.0085481877963658","-0.0290588341362158","0.0461552097289474","0.655948473204473","460","SL.glm SL.mean","0.0146485762776589 0.985351423722341","0.57506511548914 0.424934884510861","1.29110071147254"
"comb_noso","mv_elig","cancer_vs_nocancer","1","0.06","0.11","0.0317617586464869","-0.00360648855455752","0.0671300058475313","0.0783841664457103","485","SL.glm SL.mean","0.0413523643782722 0.958647635621728","0.191830722340916 0.808169277659084","2.65179769987137"
"comb_noso","mv_elig","cancer_vs_nocancer","1","0.11","0.21","0.0281465271027779","-0.00695759475870367","0.0632506489642594","0.11605950905592","525","SL.glm SL.mean","0.217202281270229 0.782797718729771","0.932288408630988 0.0677115913690118","1.87004184317608"
"comb_noso","mv_elig","cancer_vs_nocancer","1","0.21","1","0.0119999440240444","-0.0120809919464215","0.0360808799945103","0.328716870021486","800","SL.glm SL.mean","0.122349271589128 0.877650728410872","0.94120115439735 0.0587988456026505","1.80291448250578"
"comb_noso","mv_elig","cancer_vs_nocancer","1","0","1","0.0198659306533564","0.00614644136348474","0.0335854199432281","0.00453835679282257","2270","SL.glm SL.mean","0.444545670190681 0.555454329809319","0.981649323112564 0.0183506768874363","1.98827484719698"
"comb_noso","rrt_elig","cancer_vs_nocancer","1","0","0.06","-0.0330443507592608","-0.050142361515842","-0.0159463400026795","0.000151876903818451","460","SL.glm SL.mean","0.132368994144266 0.867631005855734","0 1","7.04660195735576e-08"
"comb_noso","rrt_elig","cancer_vs_nocancer","1","0.06","0.11","-0.0318069454042225","-0.0480362180708575","-0.0155776727375876","0.000122381114812473","485","SL.glm SL.mean","0.0773896488142966 0.922610351185703","0.221147235559382 0.778852764440618","3.60363892057194e-08"
"comb_noso","rrt_elig","cancer_vs_nocancer","1","0.11","0.21","-0.00738892041544404","-0.0749133258969015","0.0601354850660134","0.830176808883713","525","SL.glm SL.mean","0.194845937239227 0.805154062760773","0 1","0.846653773291252"
"comb_noso","rrt_elig","cancer_vs_nocancer","1","0.21","1","-0.00355125426430816","-0.0277856673722345","0.0206831588436182","0.773948605283097","800","SL.glm SL.mean","0 1","0.635228254413202 0.364771745586798","0.845656241672073"
"comb_noso","rrt_elig","cancer_vs_nocancer","1","0","1","-0.0069117241032374","-0.031317937791544","0.0174944895850692","0.578851764139555","2270","SL.glm SL.mean","0.524500820676779 0.475499179323221","0.830782353260468 0.169217646739532","0.790714903490615"
